Name,AB,H,HR,R,RBI,BB,SO,NSB,AVG,OBP,SLG,OPS,wRC+,WAR,PlayerID,Score
Andrés Giménez,532.063,140.244,16.2915,75.1948,66.0029,33.6832,112.016,20.62819,0.263586,0.327092,0.421607,0.748699,107.661,3.45603,19950,29.317700319288456
J.T. Realmuto,474.288,121.487,19.7916,68.4618,68.5328,37.7702,126.862,11.10297,0.256146,0.321016,0.445871,0.766886,105.057,3.43999,11739,32.022435299160215
Brandon Nimmo,547.798,146.208,18.8729,86.7668,65.3159,71.742,127.657,2.2520900000000004,0.266901,0.361954,0.438014,0.799968,121.428,3.3411,12927,47.17177938657588
Ketel Marte,544.52,148.372,19.2328,83.476,76.5683,61.6776,104.295,4.85886,0.272481,0.349935,0.455955,0.80589,117.581,3.26345,13613,48.38798359646021
Nico Hoerner,577.962,162.724,9.16343,83.1566,62.2391,44.231,77.2877,25.212959999999995,0.281547,0.341501,0.390709,0.73221,101.978,3.24437,21479,27.674848592484004
Gleyber Torres,555.287,148.872,23.5369,82.0373,77.1318,57.224,107.109,8.03138,0.268099,0.337406,0.448505,0.785912,114.134,3.24196,16997,46.183665414215426
Willy Adames,548.142,132.365,26.5397,77.9058,84.6654,61.6582,160.389,4.0685400000000005,0.241479,0.320019,0.444127,0.764145,105.08,3.23351,15986,37.9763579559716
Carlos Correa,508.654,131.84,20.3581,69.9633,70.4079,58.9446,121.247,0.0009890000000000176,0.259194,0.338519,0.438833,0.777352,115.172,3.19561,14162,37.88312279398667
Manny Machado,536.438,143.767,28.0949,78.4925,90.5398,54.8139,110.84,3.7686100000000002,0.268004,0.335562,0.47818,0.813742,118.796,3.17416,11493,54.31948842576079
Willson Contreras,414.542,105.521,20.1746,62.0836,63.8862,47.2587,109.158,2.91697,0.254549,0.348723,0.455863,0.804586,120.745,3.15879,11609,40.40664907291746
J.P. Crawford,537.099,136.507,12.386,79.4057,57.4699,74.7377,108.303,2.03866,0.254156,0.35021,0.382074,0.732284,110.662,3.15244,15491,25.239505107118983
Xander Bogaerts,558.679,155.614,18.0528,80.6271,70.5981,55.9965,110.489,9.61925,0.278538,0.348022,0.435617,0.783639,114.91,3.13365,12161,43.6230572810519
Matt McLain,519.187,133.97,22.1382,81.5119,73.8306,57.1985,158.837,14.45875,0.258039,0.340114,0.45547,0.795584,110.295,3.10906,29695,45.5197771460757
Gabriel Moreno,422.476,120.516,9.84168,52.4317,56.331,35.8007,85.0246,4.00383,0.285261,0.345403,0.415477,0.760881,107.337,3.08431,22664,26.347377893725508
Yandy Díaz,514.676,150.95,16.9267,81.9306,68.5678,71.7416,86.5826,0.3886550000000001,0.293292,0.384198,0.449716,0.833915,131.454,3.07708,16578,57.92261316648374
Nolan Arenado,561.529,146.622,25.5213,74.1011,90.7715,46.6575,91.996,2.09656,0.261112,0.320303,0.455582,0.775885,108.435,3.06683,9777,41.38127219368
Jung Hoo Lee,523.558,150.161,10.4343,70.3589,59.7139,50.0518,52.6221,6.13023,0.286809,0.352901,0.428527,0.781428,114.027,3.01296,sa3012640,36.738237260866114
Ha-Seong Kim,527.101,129.452,14.5579,73.6362,59.3967,60.4735,114.806,20.94915,0.245592,0.327139,0.383029,0.710167,96.2883,2.97584,27506,20.547012179456612
Pete Alonso,562.8,140.547,40.8939,89.4047,109.393,65.6045,138.751,2.5674069999999998,0.249729,0.340767,0.514478,0.855245,128.559,2.96621,19251,72.64402520462232
Matt Chapman,478.175,112.124,23.1285,68.3694,69.5488,60.6547,155.898,1.7528700000000002,0.234483,0.326877,0.440778,0.767655,109.406,2.84318,16505,33.007240666492486
Bryan Reynolds,567.187,152.303,24.0757,86.3597,81.0103,60.7547,136.718,7.557790000000001,0.268524,0.346405,0.461814,0.808219,116.449,2.81937,19326,52.375202497207184
Edouard Julien,456.099,111.794,16.0979,72.5601,54.3019,78.5921,161.08,5.66147,0.245109,0.359589,0.40767,0.767258,116.953,2.81635,27534,33.63571015297927
Cal Raleigh,453.488,102.545,26.2999,61.1151,70.4237,44.4566,138.107,0.438998,0.226124,0.297677,0.455182,0.752859,107.795,2.78374,21534,26.433564378605904
Josh Jung,549.014,141.928,26.3174,76.1835,83.3264,38.7784,168.289,1.54386,0.258515,0.313026,0.460079,0.773105,107.682,2.73714,26299,38.154605684335124
Randy Arozarena,551.674,142.717,24.7116,87.6248,80.2184,66.1186,153.061,16.521369999999997,0.258697,0.350305,0.454875,0.80518,120.621,2.72537,19290,52.83044155740808
Yainer Diaz,423.227,115.442,21.3646,56.8671,68.107,20.0153,86.7067,0.413622,0.272766,0.309234,0.480638,0.789872,114.09,2.70881,23003,34.83362668572644
Ian Happ,547.177,137.075,20.254,79.2764,76.2225,76.5387,147.802,8.06268,0.250512,0.346158,0.426216,0.772373,112.382,2.69439,17919,40.515902862170634
Anthony Volpe,513.318,119.977,19.5616,70.9722,64.6778,51.0964,144.091,19.05546,0.233728,0.309843,0.412702,0.722545,96.918,2.68029,27647,21.94613692980691
Ke'Bryan Hayes,535.658,141.934,16.0456,71.7869,66.3942,42.3616,117.671,9.444289999999999,0.264971,0.32036,0.427109,0.747469,99.9092,2.63907,18577,27.829234868567966
Jonah Heim,434.601,107.472,17.2938,53.9981,64.529,38.5167,92.2533,1.3431909999999998,0.247289,0.309561,0.422737,0.732298,97.384,2.62359,16930,18.3820974438244
Luis Arraez,560.658,177.445,7.75248,75.2437,61.872,45.0881,39.8377,1.9844700000000004,0.316494,0.368948,0.422485,0.791432,114.696,2.62312,18568,42.10496762213991
