Name,AB,H,HR,R,RBI,BB,SO,NSB,AVG,OBP,SLG,OPS,wRC+,WAR,PlayerID,Score
Trent Grisham,310.003,69.0642,13.2417,46.9249,41.0792,42.5366,99.0161,6.835,0.222786,0.322786,0.407598,0.730384,100.828,1.50816,18564,10.532723489656188
Henry Davis,410.255,99.855,14.7177,54.7938,52.9621,47.718,112.525,5.016520000000001,0.243397,0.335086,0.409367,0.744453,101.003,1.48863,29617,20.825492424558327
Jarren Duran,480.446,125.735,13.1716,71.4596,54.8451,38.0209,133.746,23.531170000000003,0.261705,0.321292,0.425651,0.746943,98.3452,1.48189,24617,25.496717377736076
Austin Hays,507.549,129.627,16.971,67.5356,65.2368,35.9169,123.983,2.8928200000000004,0.255398,0.310312,0.418524,0.728837,101.593,1.47481,19363,19.817022491329652
Brendan Donovan,406.675,111.51,9.45651,60.6322,46.5397,46.2534,70.576,3.70795,0.274198,0.361208,0.400321,0.761529,112.106,1.46283,24679,26.67111222099612
Amed Rosario,437.013,119.624,7.90429,57.9826,49.9061,22.7282,82.4317,9.44585,0.27373,0.31224,0.395503,0.707743,92.4205,1.46248,15518,9.322118902788016
Jake Cronenworth,521.583,128.354,14.5495,70.108,66.2061,53.4091,106.099,3.9461999999999993,0.246085,0.326755,0.401719,0.728474,99.4745,1.4598,18036,20.49427203257561
Sal Frelick,485.397,128.957,8.63416,67.2035,54.5552,48.0128,79.6532,12.209399999999999,0.265673,0.335609,0.385515,0.721124,97.1848,1.45919,29622,18.05754593383331
Masyn Winn,439.623,107.439,9.74788,58.4626,48.2296,34.9928,95.4795,10.357809999999999,0.244388,0.301737,0.371543,0.67328,83.5452,1.45011,27479,0.06797696597677527
DJ LeMahieu,449.626,113.486,10.7251,60.5554,47.0887,53.2562,94.6562,1.56886,0.252402,0.334172,0.372229,0.706401,96.4488,1.44506,9874,12.1402206345306
Noelvi Marte,434.229,115.168,13.3269,59.7317,54.7292,38.3939,99.2304,12.10721,0.265223,0.32898,0.418281,0.747261,97.105,1.44102,26517,24.073504702676516
Geraldo Perdomo,366.581,87.856,5.53602,52.8544,36.1222,48.2328,79.8108,8.78488,0.239663,0.334246,0.343637,0.677883,88.1389,1.43706,22799,-0.8619647364238197
Matt Wallner,394.272,91.3359,17.8777,57.5409,58.3527,50.2388,150.425,2.25281,0.231657,0.334403,0.429785,0.764188,112.367,1.43526,26466,25.0023712556135
Alex Verdugo,482.543,128.617,13.4686,65.9598,56.9711,40.207,81.6922,2.4396799999999996,0.266541,0.325739,0.415625,0.741364,101.841,1.42111,17027,22.695956406959905
Ryan Mountcastle,471.675,124.476,21.668,63.8634,71.246,39.6431,124.653,2.36482,0.263901,0.322295,0.454535,0.776829,113.395,1.41827,18373,35.52531538381113
J.D. Davis,424.112,104.836,15.1673,54.7818,55.2472,48.2992,139.25,0.825942,0.24719,0.330921,0.405452,0.736373,102.645,1.40974,16219,19.189946901716247
Jonathan India,448.549,113.833,16.3717,69.7098,59.918,49.7361,109.083,8.245239999999999,0.25378,0.34491,0.421799,0.766709,104.79,1.40957,21523,31.154606060671526
Chris Taylor,372.51,86.0675,13.512,53.4262,51.2361,42.6,134.346,9.283,0.231047,0.316232,0.401294,0.717526,96.1934,1.40794,13757,10.428394025129702
Brendan Rodgers,466.772,128.555,13.8844,61.6896,60.1855,34.495,98.2453,0.14743,0.275412,0.330989,0.432717,0.763706,91.6151,1.40611,17907,27.728230385933244
Mitch Garver,366.03,86.0133,19.5031,51.2868,56.0961,47.81,107.284,0.6458789999999999,0.23499,0.329173,0.438317,0.767491,115.767,1.40274,15161,26.34309685911824
Christopher Morel,480.859,116.697,25.7776,72.3825,73.8014,45.9445,162.661,6.7454600000000005,0.242684,0.311992,0.464552,0.776543,109.229,1.40011,21897,36.39039191633071
Ezequiel Tovar,572.482,150.671,16.227,78.8165,70.5585,30.5649,148.312,9.30366,0.263189,0.304566,0.418621,0.723188,78.9655,1.39072,24064,20.595092421429577
Jon Berti,376.961,97.6094,6.42206,51.416,34.3066,36.1343,84.5872,16.86165,0.258938,0.327912,0.369085,0.696997,90.7533,1.38726,12037,6.103126263144723
Austin Wells,305.277,70.8159,12.4606,38.6112,44.3092,29.5758,82.6774,2.7329969999999997,0.231973,0.30461,0.41115,0.71576,93.9952,1.36824,27562,4.603177604867677
Marcell Ozuna,489.04,124.513,29.4657,72.1252,82.3942,48.1175,125.563,0.349603,0.254608,0.323311,0.484012,0.807324,114.252,1.36238,10324,48.239963963359095
Harrison Bader,375.761,91.5925,10.8023,50.1288,44.3884,25.0971,79.487,16.35766,0.243752,0.298187,0.386667,0.684855,85.7651,1.35009,18030,1.51847400624273
Lourdes Gurriel Jr.,493.713,136.744,16.168,63.5299,69.5843,32.5311,94.0521,2.8988300000000002,0.276971,0.325968,0.442054,0.768022,106.472,1.3485,19238,31.398598810222413
Esteury Ruiz,444.312,109.792,7.81621,59.0286,40.3686,30.1785,102.714,44.75377,0.247106,0.311409,0.362986,0.674395,91.9809,1.34732,21780,4.9183954522555595
Ryan Noda,434.144,94.7315,17.8253,62.0537,54.6502,70.0135,170.797,3.35471,0.218203,0.337087,0.393188,0.730275,109.331,1.33793,23312,19.29701589786723
Luis Urías,305.436,68.7845,10.4569,38.8342,36.5385,36.1845,81.4655,0.782197,0.225201,0.322262,0.37772,0.699982,100.119,1.3377,16622,0.1457574070958067
Jake Rogers,296.271,64.3163,14.7221,38.7784,41.7073,26.4557,106.19,0.8356779999999999,0.217086,0.286263,0.4163,0.702563,90.3082,1.32943,19452,-1.0022556139311887
Nolan Schanuel,411.344,109.125,9.08426,62.609,45.0454,61.3057,76.9431,1.587157,0.265288,0.368349,0.387084,0.755432,112.109,1.32504,33189,25.91674482935818
Pete Crow-Armstrong,309.206,76.8357,8.99625,47.3185,38.3763,24.8739,97.5353,12.850449999999999,0.248494,0.312348,0.404073,0.716421,95.1022,1.32105,27769,6.173875504295363
Ty France,539.419,140.381,14.6113,69.6219,65.2232,39.7854,102.326,0.48148500000000005,0.260244,0.330486,0.396749,0.727235,106.466,1.31196,17982,20.526196808427024
Jose Siri,424.085,94.2079,20.0319,60.5126,56.8802,26.4779,157.17,12.61608,0.222144,0.272439,0.419016,0.691455,84.5453,1.30845,17452,5.225080071495546
Parker Meadows,457.384,105.306,13.0933,61.1063,49.4124,43.7944,123.601,12.07837,0.230234,0.301014,0.380928,0.681942,86.5215,1.28796,23800,3.7569644269450992
Jordan Walker,484.329,129.653,17.6077,65.3678,63.558,43.5522,121.824,7.175369999999999,0.267697,0.334609,0.438388,0.772997,110.875,1.26214,27475,34.304693697719216
Ramón Laureano,404.487,94.2437,13.7548,55.0448,49.6256,35.6647,121.756,9.22334,0.232996,0.311259,0.396733,0.707992,97.8222,1.24643,17128,8.19689814450585
Dylan Carlson,325.01,81.1663,8.81574,44.5797,40.2921,36.5988,73.0546,2.758557,0.249735,0.334007,0.401155,0.735162,102.385,1.23743,20126,11.728062244644038
Jordan Lawlar,320.076,77.6338,8.18456,45.9406,36.6272,29.4218,89.3949,11.895669999999999,0.242549,0.315333,0.379832,0.695165,89.3608,1.23397,29976,1.0145233184425626
Yan Gomes,340.29,85.7091,9.47842,37.7506,45.0762,17.7518,71.3994,0.7716139999999999,0.251871,0.297092,0.388803,0.685895,85.5107,1.23052,9627,-2.6841639713278522
Lane Thomas,546.722,136.448,20.9233,77.9669,69.1613,43.2194,150.242,10.607980000000001,0.249575,0.309765,0.428734,0.738499,98.074,1.22697,16939,27.0676582661416
Jackson Chourio,467.874,118.451,15.0767,60.6948,61.3029,30.1508,108.944,15.35246,0.253169,0.300708,0.410397,0.711105,90.0046,1.22641,sa3015704,14.360442691180003
Eloy Jiménez,480.557,131.008,22.5764,60.4495,72.638,37.0455,106.675,-0.06645300000000001,0.272616,0.32636,0.463612,0.789972,113.482,1.22564,17484,40.05249638463944
Kevin Kiermaier,359.416,87.5293,6.81843,48.2334,37.4288,28.3881,91.2874,9.027890000000001,0.243532,0.303394,0.371445,0.674839,86.7248,1.22253,11038,-4.8696750180871575
Mark Canha,439.665,112.321,11.663,59.0213,55.2695,52.1225,88.3104,5.52693,0.25547,0.351285,0.395066,0.74635,109.557,1.21967,11445,23.34658916758037
Luis Campusano,405.814,106.15,13.5999,50.1209,55.2778,27.9209,76.4641,0.25711000000000006,0.261574,0.314738,0.412509,0.727247,97.8055,1.20284,22217,14.664360626719326
Michael Massey,403.027,99.877,13.7536,48.5386,53.3667,26.0959,95.0269,4.520700000000001,0.247817,0.300124,0.410962,0.711086,91.7219,1.18749,27684,8.49983962589303
Mike Yastrzemski,417.721,95.7933,17.3672,60.2008,55.6541,52.2566,122.802,2.0658899999999996,0.229324,0.320637,0.420348,0.740985,101.872,1.1874,14854,19.453386207231624
Kerry Carpenter,489.777,126.119,22.9349,67.0643,73.3295,38.5763,131.71,3.7323299999999997,0.257503,0.320563,0.456036,0.776599,110.767,1.17032,25961,35.7729006564024
Christian Encarnacion-Strand,405.44,107.944,22.7014,57.8306,69.0412,30.3011,118.575,1.7858550000000002,0.26624,0.325547,0.492605,0.818151,113.158,1.17003,30011,42.83224489151544
Andrew Vaughn,543.393,141.879,22.1238,69.4448,76.1049,39.9348,116.828,0.075594,0.261098,0.320599,0.44112,0.761719,106.86,1.15427,26197,33.28803496180605
LaMonte Wade Jr.,425.362,102.937,16.8023,61.2308,54.1043,62.7758,96.649,1.828584,0.242,0.346293,0.411768,0.758061,109.477,1.15366,18126,27.936814454215217
Wyatt Langford,385.549,99.2024,15.7374,54.5171,54.012,42.426,92.9323,7.971430000000001,0.257301,0.336249,0.443898,0.780147,112.049,1.1494,sa3022654,30.93704235207332
Justin Turner,453.586,116.885,15.4413,61.1964,66.3452,42.8602,91.6225,1.932899,0.257692,0.329378,0.413633,0.743011,106.804,1.14377,5235,23.32713481570027
Brandon Drury,483.416,121.309,22.9127,65.157,74.1873,30.9262,129.737,0.45435400000000004,0.25094,0.3024,0.453123,0.755523,102.82,1.14066,11615,27.472752861809344
Bryan De La Cruz,521.142,138.417,19.8523,63.7436,69.815,37.3326,128.815,3.18837,0.265604,0.315145,0.438619,0.753763,101.478,1.13889,19600,29.5935942555214
Brayan Rocchio,369.679,91.1678,6.09927,47.6071,41.0737,29.7737,77.3047,7.221889999999999,0.246614,0.30791,0.361606,0.669516,87.1952,1.13837,23690,-5.492920344495358
Travis d'Arnaud,298.784,73.6323,11.682,39.2747,42.82,21.6274,74.5797,-0.14023799999999997,0.24644,0.305402,0.419182,0.724584,93.7941,1.12537,7739,6.442056257880552
Brent Rooker,456.236,104.314,24.4691,59.6474,65.9576,47.6799,168.346,2.374269,0.22864,0.312499,0.439162,0.751661,109.999,1.12388,19627,26.357722762793507
Johan Rojas,295.757,78.5897,4.62468,40.6471,33.6709,15.2842,72.2835,17.976969999999998,0.265724,0.308472,0.381464,0.689936,86.0583,1.12293,24336,-1.0343062493004804
René Pinto,348.101,79.0818,14.0579,37.1873,44.8234,16.6014,120.899,0.908234,0.227181,0.267283,0.401516,0.668799,78.6814,1.12086,19859,-8.914516289517296
Junior Caminero,293.453,77.8731,12.0281,39.1245,43.5042,21.8901,66.6091,1.5860699999999999,0.265368,0.320232,0.440902,0.761133,106.18,1.11024,28163,18.45191325592179
Brice Turang,424.077,102.515,8.45115,52.6483,44.1065,41.8967,95.7871,16.95895,0.241737,0.310574,0.356621,0.667195,82.0096,1.09824,22186,-0.5001839033095719
Nick Madrigal,304.543,85.4014,1.32459,37.3871,29.5005,18.1482,32.0331,6.261589999999999,0.280425,0.332854,0.356702,0.689556,91.4418,1.09102,20521,-1.3011088064892777
Marco Luciano,402.143,90.4343,12.2367,48.4392,46.684,42.5064,141.37,4.86841,0.224881,0.302141,0.366902,0.669043,83.9744,1.08892,25616,-3.233788139045685
MJ Melendez,483.686,116.979,20.1415,69.9785,63.18,61.285,143.491,2.7346799999999996,0.241848,0.327984,0.43435,0.762334,107.449,1.08629,22197,31.128270053379858
Willi Castro,371.376,91.6315,9.3749,53.4313,39.345,26.9704,96.1191,17.49052,0.246735,0.309993,0.386662,0.696656,92.9305,1.06637,17338,4.184286977921574
Jeimer Candelario,486.789,122.169,19.9814,69.6293,71.3949,48.9712,124.257,3.3158300000000005,0.250969,0.327784,0.4419,0.769684,102.744,1.06559,13621,32.874342097095536
Luis García Jr.,436.741,119.185,10.1441,54.1498,51.0766,25.6116,70.6009,4.034889999999999,0.272896,0.312722,0.409316,0.722039,93.0573,1.05587,20391,13.395887282322745
Javier Báez,501.813,121.319,14.1684,61.0707,60.9638,25.5095,133.697,8.30146,0.241761,0.287338,0.386226,0.673564,82.8255,1.04567,12979,1.5211361482659536
Luke Raley,364.537,84.6579,16.5882,50.7947,49.9598,29.5472,128.583,7.710710000000001,0.232234,0.30978,0.419256,0.729036,104.457,1.03553,19354,12.688613540077016
Jake Meyers,325.309,76.7229,9.18605,42.0417,38.2497,26.0791,93.6133,3.88539,0.235846,0.300747,0.378379,0.679126,87.7181,1.02524,20308,-5.388034209527564
Matt Vierling,354.233,91.295,7.822,45.8179,37.4254,30.434,80.7322,3.99549,0.257726,0.320815,0.389708,0.710523,95.8319,1.02199,21558,5.920082918858472
Freddy Fermin,185.973,47.5592,6.50208,22.877,24.6767,14.7846,43.8799,-0.020906599999999997,0.255732,0.313146,0.416574,0.72972,98.31,1.02126,21840,1.970597530084874
Michael A. Taylor,345.975,79.7526,13.4345,44.4146,43.5159,27.0256,114.082,6.87646,0.230516,0.290656,0.39276,0.683416,85.3517,1.01772,11489,-1.6475061023594226
Tim Anderson,465.565,127.986,6.40308,59.674,40.8558,22.7565,105.2,10.15888,0.274905,0.312969,0.370525,0.683493,87.0731,1.01351,15172,3.412613103936716
Joc Pederson,378.67,95.792,18.2321,56.707,60.7862,47.4428,95.8209,0.6473090000000001,0.25297,0.344603,0.457999,0.802602,115.682,1.01235,11899,36.95642873079919
Iván Herrera,154.04,37.8745,4.19649,21.8314,19.7847,22.1052,43.8296,1.2955299999999998,0.245875,0.347382,0.378465,0.725847,103.205,1.0084,20599,0.6159354873945051
Kyle Isbel,340.959,82.9622,8.8226,47.2393,38.6078,25.3205,77.9721,7.29546,0.243321,0.300256,0.39463,0.694886,88.3998,1.00265,21614,-0.23069885705205906
Darell Hernaiz,333.855,82.5603,5.29947,37.9111,32.5966,22.7136,63.3651,6.819039999999999,0.247294,0.298993,0.355048,0.654041,84.2745,0.98981,sa3011309,-11.788498236669756
José Caballero,247.316,55.8176,5.38479,36.1977,26.3732,30.1708,65.9633,17.46308,0.225694,0.3272,0.346606,0.673806,89.3122,0.984768,23401,-7.748146937462906
Victor Caratini,222.032,52.6759,6.67062,26.0972,27.5689,20.9612,52.4352,0.748039,0.237244,0.311916,0.367534,0.679451,88.8297,0.979409,14968,-9.496143372001857
J.D. Martinez,441.188,112.734,22.3736,60.4232,73.7958,39.7922,137.255,0.45040399999999997,0.255523,0.318728,0.470765,0.789493,112.008,0.961074,6184,36.21148303650488
Alex Kirilloff,356.959,94.5371,13.1323,47.2543,50.6548,31.1496,92.3055,1.323773,0.26484,0.332294,0.432958,0.765251,111.714,0.960844,20325,23.240405158620046
Miguel Amaya,217.146,49.1911,7.68811,26.6855,28.2409,23.3036,67.3211,0.482827,0.226535,0.318751,0.382224,0.700975,93.3936,0.96046,21693,-5.375612783966467
Wilyer Abreu,383.908,92.8163,13.2328,54.6412,51.3961,49.5263,113.36,7.397220000000001,0.241767,0.331009,0.404912,0.735921,98.0853,0.957295,23772,17.66667666834236
Myles Straw,411.443,101.772,1.6698,50.5979,32.6675,39.9828,80.5581,14.564449999999999,0.247354,0.314252,0.31564,0.629892,78.9532,0.956034,17620,-13.550719011864055
Andrew Benintendi,512.398,136.702,8.09072,67.139,50.3756,50.9475,87.061,7.30297,0.266789,0.334254,0.376783,0.711037,95.7214,0.954011,17901,15.345469650317712
Michael Conforto,423.876,104.59,15.0589,57.9195,57.6725,53.2308,108.37,2.611504,0.246746,0.33983,0.402586,0.742416,104.553,0.946412,16376,22.36723721203809
Will Benson,346.65,79.4676,12.947,55.5385,42.7778,52.5347,125.517,12.89688,0.229245,0.336205,0.410638,0.746843,99.2604,0.944517,21853,18.542554879412513
Joey Ortiz,279.41,71.7131,5.09987,35.7433,32.9845,19.8146,62.4438,3.5785400000000003,0.256659,0.308064,0.380899,0.688963,85.787,0.941702,25493,-4.509191229061594
Mike Tauchman,300.283,72.4052,6.63272,45.8385,34.6542,43.1755,82.4773,4.40773,0.241123,0.340678,0.365693,0.706371,97.584,0.936154,15274,3.8072174946913733
Anthony Rizzo,444.135,105.736,20.4864,63.415,63.3553,46.7938,104.736,1.4006,0.238071,0.329743,0.422795,0.752538,106.3,0.932617,3473,26.266000715783264
Seth Brown,413.747,95.6157,19.6772,50.971,61.2005,37.8174,123.22,3.8242899999999995,0.231097,0.298311,0.434259,0.732571,103.012,0.932529,18171,16.530296264439478
Nick Fortes,279.842,64.9192,8.24602,34.0134,30.9404,20.3005,56.0792,2.9632899999999998,0.231985,0.296327,0.368529,0.664856,80.2908,0.908851,21538,-11.63411368731383
Jarred Kelenic,450.362,109.282,16.9105,64.9928,62.6468,47.7855,141.129,9.6327,0.242653,0.317917,0.422005,0.739922,97.4323,0.908236,22558,22.19927085548592
Christian Bethancourt,273.073,65.2233,9.31239,33.3537,32.5796,13.2698,72.8391,1.215211,0.238849,0.276192,0.391017,0.667209,77.4064,0.904383,10028,-12.019991907973893
Ramón Urías,270.18,67.089,6.61748,33.061,31.6511,21.8606,72.5926,1.030451,0.248312,0.313959,0.37845,0.692409,94.0458,0.900836,18795,-4.074586386959167
Starling Marte,428.898,111.912,10.4752,59.2821,46.9224,28.1894,93.1327,19.02871,0.260928,0.320491,0.390017,0.710508,95.2031,0.879044,9241,12.531602350711593
Drew Waters,293.621,70.4518,8.61401,40.8952,33.1468,26.9495,100.524,9.3948,0.239941,0.308739,0.402676,0.711416,93.8676,0.877307,20505,2.322731465763783
Connor Wong,328.134,77.6325,10.4897,41.4674,38.1306,20.3656,109.518,4.16258,0.236588,0.287961,0.395299,0.683259,79.6721,0.870509,19896,-5.1051550827237175
Jesús Sánchez,415.017,102.326,17.5941,53.4507,58.2102,39.5135,119.471,2.0906000000000002,0.246559,0.316511,0.435105,0.751616,101.576,0.842557,19913,22.372747739284836
Christian Vázquez,264.375,63.758,5.10821,28.4863,28.3114,18.2785,57.882,0.67886,0.241165,0.292623,0.346384,0.639007,77.0208,0.828322,9774,-19.41678097658134
Brett Baty,388.93,92.6241,12.5703,49.2399,48.5242,37.3491,116.048,1.08719,0.238151,0.310624,0.379775,0.690398,89.8276,0.828264,26123,2.856282156779075
Josh Bell,515.503,131.201,20.2088,67.4843,72.3368,64.376,115.209,0.03810400000000003,0.254511,0.339304,0.425134,0.764438,107.263,0.826234,13145,35.30760553482709
José Abreu,525.918,134.411,18.0251,68.0634,79.4428,46.2646,121.56,0.138971,0.255575,0.324043,0.410791,0.734834,103.361,0.816009,15676,24.541842767032094
Nelson Velázquez,364.599,85.9992,22.0545,50.7373,54.1612,32.115,121.513,3.8322699999999994,0.235874,0.302822,0.472296,0.775117,107.319,0.809942,23359,26.50989285636458
Tommy Pham,421.663,104.222,14.0069,60.4855,53.8186,47.8975,112.905,10.89219,0.247169,0.326859,0.405416,0.732275,101.005,0.802279,2967,19.309922939745654
Tyler Black,223.023,53.7139,5.60306,33.2809,26.6936,29.9478,60.0891,8.551039999999999,0.240845,0.339054,0.390278,0.729331,100.335,0.801909,sa3017623,4.9390871226600925
Jake McCarthy,253.646,65.6845,4.33636,36.4618,25.6991,21.652,58.7994,16.861819999999998,0.258961,0.325245,0.381816,0.707062,92.892,0.798651,21622,2.0779134264028727
Jared Triolo,258.64,65.0774,4.37905,33.6945,27.1372,28.9094,74.4398,5.8127699999999995,0.251614,0.329959,0.36918,0.699139,91.0683,0.797151,25807,-1.4261341043495208
Cavan Biggio,299.682,67.732,8.73273,44.3526,36.6041,42.3913,91.8702,3.4504600000000005,0.226013,0.32905,0.369694,0.698743,97.5121,0.786416,19252,0.4540586965799688
Gio Urshela,268.812,73.7215,6.29373,31.6774,33.384,17.002,53.1273,1.081095,0.274249,0.318708,0.401797,0.720505,96.1843,0.785619,10681,5.261991733899774
Jake Fraley,336.532,84.5831,13.4042,48.4634,50.6304,40.7194,81.9422,11.292269999999998,0.251337,0.338953,0.425931,0.764884,102.73,0.785309,19260,24.660762212554296
Tom Murphy,187.982,45.5859,7.76,23.8489,24.0041,19.3303,59.3569,0.159173,0.242501,0.315533,0.416003,0.731536,99.5397,0.783674,13499,2.028677223131104
Jean Segura,260.854,68.2913,5.42677,31.8683,27.0326,19.0176,43.59,4.00309,0.261799,0.319753,0.37391,0.693663,90.855,0.782084,5933,-2.2211598843363025
Carson Kelly,226.795,50.327,5.87383,25.094,25.3035,23.2433,56.9683,0.7490029999999999,0.221906,0.298911,0.347139,0.64605,78.9873,0.772194,13620,-19.905046215233156
Jason Heyward,321.579,78.842,11.428,44.4643,40.5286,30.7383,66.9515,1.610309,0.245172,0.317225,0.408712,0.725937,98.2277,0.762626,4940,9.130752635278542
Yasmani Grandal,257.58,58.1254,6.94452,29.124,29.3297,36.8085,64.5928,-0.09503400000000001,0.225659,0.326141,0.347363,0.673504,85.919,0.760314,11368,-8.820390021303169
Santiago Espinal,263.738,68.8417,3.53703,31.858,28.1654,21.0563,41.7502,2.09267,0.261023,0.31901,0.358673,0.677683,89.4966,0.747926,19997,-7.101204381944413
Brandon Belt,282.771,64.9287,14.4575,40.6843,40.3782,43.8797,104.274,0.5876760000000001,0.229615,0.338658,0.43426,0.772918,111.921,0.735074,10264,20.71217820432028
Josh Rojas,281.523,67.2494,5.24117,37.2036,29.4999,29.3902,70.8611,7.691659999999999,0.238877,0.310914,0.351491,0.662405,88.0146,0.726691,19734,-10.4834627122693
Austin Slater,242.8,61.297,7.15955,34.9049,27.8953,28.1648,75.5594,4.98455,0.252459,0.337521,0.395717,0.733238,103.361,0.726041,16153,7.95486492871281
Hunter Renfroe,434.604,106.09,19.7173,56.5334,62.2793,37.3709,105.841,0.5569510000000001,0.244107,0.305836,0.436989,0.742825,100.659,0.721382,15464,21.268503611656655
Xavier Edwards,217.817,59.4246,2.14086,28.4663,20.3189,19.2449,32.9004,7.02997,0.272819,0.33421,0.359901,0.69411,90.2743,0.707215,22266,-2.4167801105620024
Akil Baddoo,288.801,67.4174,8.41633,40.478,31.4965,35.401,81.2409,9.17887,0.233439,0.317706,0.386226,0.703932,94.213,0.705899,22168,1.4041546780912548
Max Stassi,185.217,39.3514,6.64885,22.305,21.2225,20.2293,64.3582,0.07664700000000002,0.212461,0.296701,0.363544,0.660244,81.7565,0.699676,10059,-19.312890361718026
Abraham Toro,275.852,64.3847,7.18199,32.0802,32.6218,24.4265,62.4955,1.9438600000000001,0.233403,0.303244,0.372382,0.675626,90.84,0.698434,19844,-9.332786851335293
Elvis Andrus,275.119,68.7556,5.63126,33.654,30.1622,18.4735,51.3616,6.148000000000001,0.249912,0.301347,0.367282,0.668629,82.5828,0.696645,8709,-9.578511364421884
Nick Castellanos,577.499,151.285,24.4316,75.9424,87.7611,36.9646,158.721,5.66575,0.261966,0.309167,0.450102,0.759269,102.169,0.696075,11737,35.28030212347382
Isiah Kiner-Falefa,322.844,82.6447,4.10326,39.287,31.5825,22.8382,58.0272,9.42764,0.25599,0.311056,0.34456,0.655616,83.311,0.690238,16512,-9.898802386520224
Mitch Haniger,407.547,94.8922,18.4678,53.462,57.475,35.7364,118.084,1.0580159999999998,0.232838,0.30172,0.418078,0.719798,100.52,0.687981,14274,12.59022813712971
Dylan Moore,186.297,38.9156,7.15058,26.4932,21.7767,21.4685,65.8115,7.603770000000001,0.20889,0.3069,0.383361,0.690261,95.7236,0.685265,18042,-10.992378471316087
Taylor Walls,302.524,62.7424,7.12915,41.4261,31.7062,40.3882,90.0041,11.28441,0.207397,0.302675,0.336164,0.63884,77.8558,0.684344,22458,-16.759165721431902
Kyle Farmer,249.04,61.4645,6.2701,31.0679,30.7726,15.4741,56.2396,0.68316,0.246805,0.304805,0.377092,0.681897,89.1868,0.67618,14813,-8.47278467815216
Lawrence Butler,293.295,68.1327,9.48745,33.7069,33.7978,22.3494,83.876,5.1453500000000005,0.232301,0.288265,0.386144,0.674409,87.8264,0.675001,22542,-8.501332238188441
Colson Montgomery,185.483,43.4074,4.93847,23.5328,21.068,21.8034,49.6628,0.53049,0.234024,0.325913,0.369164,0.695077,92.5416,0.672743,sa3017170,-7.953106230362531
Gabriel Arias,243.539,56.6974,7.58728,29.5653,27.682,20.38,77.2665,1.7105500000000002,0.232807,0.297065,0.37978,0.676845,88.0864,0.669688,22563,-10.680541608809955
Andy Ibáñez,247.125,63.0534,6.89999,29.7373,29.8024,18.6889,47.1414,1.466123,0.255148,0.31116,0.400852,0.712012,95.3133,0.664228,18819,0.46509744385383023
Edmundo Sosa,222.435,55.0264,6.25454,28.8118,26.2951,9.29379,57.1079,2.8433699999999993,0.247382,0.297079,0.395563,0.692642,86.0712,0.647231,17022,-7.758352754631648
Victor Robles,322.876,77.3688,5.93717,41.84,30.0744,25.5365,79.3768,11.495529999999999,0.239624,0.313107,0.355089,0.668196,82.9858,0.641532,18363,-7.754425551882156
Miguel Rojas,243.727,61.7703,3.66259,28.8955,25.2379,16.1534,33.6211,3.1340900000000005,0.253441,0.305399,0.356195,0.661594,81.3413,0.635429,7802,-13.215269274776137
Andruw Monasterio,253.126,62.2949,4.17487,32.915,26.8,27.9313,64.0338,5.86565,0.246102,0.324909,0.355912,0.680821,87.5429,0.633097,19455,-6.638178138448057
Jorge Mateo,200.444,46.5959,4.85694,29.18,20.6423,12.0416,54.7443,13.071359999999999,0.232463,0.279787,0.372195,0.651982,79.2607,0.61791,17273,-18.78486207193138
Jose Trevino,248.408,58.3759,6.20821,26.1967,28.2164,11.8676,44.685,0.2989609999999999,0.235,0.273668,0.356466,0.630134,69.8823,0.617032,16725,-23.609312424419734
Brandon Crawford,256.732,59.9122,7.68027,31.9752,33.8725,25.0355,67.8975,1.5299040000000002,0.233364,0.306908,0.375447,0.682355,85.8161,0.614148,5343,-7.579958605957485
Luke Maile,182.976,41.894,5.29819,20.4028,22.1675,16.3975,53.6158,1.1362510000000001,0.228959,0.302223,0.36621,0.668433,77.4916,0.612024,13355,-16.1668474921105
Zach McKinstry,324.087,76.5835,8.00717,41.7288,32.9584,30.0605,81.1496,6.65893,0.236305,0.306188,0.375896,0.682084,87.618,0.607906,19392,-4.330835994121955
Garrett Mitchell,302.54,72.5411,7.96782,40.7547,33.548,29.0163,103.078,8.97903,0.239773,0.311378,0.377414,0.688792,87.5406,0.604457,27555,-2.382400240651058
Ryan O'Hearn,364.233,94.1744,15.0245,46.6952,55.0559,23.2342,93.5047,2.294009,0.258556,0.306907,0.437855,0.744762,103.999,0.601992,16442,17.240500167436256
Omar Narváez,204.64,47.5023,4.24472,21.6817,20.2024,22.0783,45.624,0.06249999999999997,0.232127,0.311393,0.340568,0.651961,80.8096,0.599698,13338,-18.39407365169507
Josh Donaldson,215.801,47.6253,10.3585,28.9659,31.1807,27.6868,64.9124,0.29653799999999997,0.220691,0.312636,0.412508,0.725144,98.0909,0.595424,5038,1.2145626171014308
Elias Díaz,402.538,102.484,12.6115,45.4286,53.5105,29.3899,93.8232,0.5246770000000001,0.254595,0.307105,0.40451,0.711615,76.9551,0.578677,11680,8.885633134418555
Ezequiel Duran,260.48,66.1529,8.91538,34.0223,32.486,15.7007,73.0799,3.9452,0.253965,0.302685,0.422963,0.725648,94.9878,0.573817,23733,4.313433655950367
