Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Mike Clevinger",,7.13518,8.02797,6.93255,4.66811,21.7042,21.7042,0,0,120.518,513.634,118.97,67.946,62.5103,19.1183,38.37,0.462077,6.79106,102.378,7.64532,2.86537,2.66817,1.42771,0.199321,0.074703,0.12461771070957184,0.253952,1.30552,0.287775,0.684621,,,4.74249,1.29808,1.04166,416.20001220703125,3.7357,-0.170512,0.912952,"12808"
"John Means","BAL",7.14258,7.03248,8.3425,4.17464,29.579,22.7943,0,0.223466,129.214,531.659,122.36,65.1473,59.9355,21.3809,29.8354,0.883035,4.74429,102.126,7.11329,2.0781,3.42298,1.48923,0.192089,0.0561175,0.13597166165709496,0.246158,1.17786,0.270306,0.711979,,,4.62826,1.28712,1.5491,278.0199890136719,4.13648,0.7739,0.632951,"16269"
"Luis Severino","NYM",6.53856,7.27562,7.46117,4.59346,22.4773,22.4773,0,0,119.094,508.232,115.97,66.0695,60.784,18.5563,41.094,0.801129,5.7945,111.964,8.46113,3.10548,2.72458,1.4023,0.2203,0.0808567,0.13944364339113235,0.251374,1.31882,0.294458,0.694163,,,4.58146,1.26218,1.10906,295.7300109863281,3.70103,-0.0711051,0.830536,"15890"
"Bryce Elder","ATL",8.68012,6.26623,8.93954,4.42322,23.4654,23.4654,0,0,136.188,588.459,136.827,72.7524,66.9322,17.2827,50.1164,1.29416,6.56994,105.845,6.99476,3.31194,2.11198,1.14213,0.179868,0.0851654,0.09470226615667343,0.257304,1.37269,0.292539,0.701645,,,4.59909,1.25667,1.66937,407.1099853515625,4.49816,-0.0746175,1.21021,"27779"
"Paul Blackburn","OAK",6.3117,8.55337,7.531,4.51221,24.6671,24.6671,0,0,134.215,581.029,139.926,73.1408,67.2895,17.1048,46.4721,1.38137,5.40829,111.345,7.46643,3.11627,2.39595,1.14699,0.191634,0.0799824,0.1116517186164856,0.264436,1.38881,0.306518,0.697177,,,4.41224,1.20423,0.958071,534.469970703125,4.47937,-1.17264,1.15427,"14739"
"Wade Miley","MIL",7.57601,7.01772,8.36377,4.21436,22.8931,22.8931,0,0,127.3,544.811,127.929,64.793,59.6095,17.5212,42.9251,0.486305,4.7886,89.3466,6.31675,3.03478,2.08145,1.23874,0.163996,0.078789,0.08520661294460297,0.257351,1.34214,0.282929,0.724835,,,4.76505,1.1984,1.79321,463.510009765625,4.22465,0.802154,0.730088,"8779"
"Colin Rea",,6.66729,7.55328,6.78498,4.64168,29.942,22.8772,0,0.24088,130.226,550.815,128.009,73.0035,67.1632,22.0391,40.1534,0.832641,4.99586,112.104,7.74758,2.77502,2.7919,1.52314,0.203524,0.0728983,0.13062605261802673,0.25315,1.29131,0.285232,0.693035,,,4.77354,1.19583,1.12529,513.4400024414062,2.73107,-0.900357,0.954506,"12317"
"Aaron Ashby","MIL",3.99487,5.08679,3.06942,3.86847,33.2309,10.0576,0.00101702,1.62296,77.3357,332.266,69.4571,36.1317,33.2412,8.46433,34.8762,0.844691,3.65878,85.9482,10.0023,4.05874,2.46438,0.985042,0.258673,0.104965,0.15370845049619675,0.236465,1.3491,0.306007,0.737448,,,3.94999,1.1549,1.1859,409.30999755859375,5.32387,-1.10493,0.476263,"23550"
"Adrian Houser","NYM",6.99957,7.48491,6.16572,4.4849,30.3584,21.1836,0,0.905941,122.774,532.624,125.525,66.5012,61.1811,14.9502,46.5968,1.16709,4.45743,92.1029,6.75163,3.4158,1.97659,1.09593,0.172923,0.0874854,0.08543748408555984,0.260658,1.40194,0.295246,0.698588,,,4.5852,1.14217,1.16724,526.4000244140625,2.30394,0.29503,1.06406,"12718"
"Chase Silseth","LAA",6.93983,7.15552,6.19176,4.34155,26.9342,20.0759,0,1.01724,111.791,480.305,103.875,58.6166,53.9273,15.6329,47.3803,0.438383,4.87028,110.132,8.86646,3.81447,2.32443,1.25856,0.229296,0.0986463,0.130650095641613,0.242668,1.35302,0.291914,0.71608,,,4.50483,1.13873,1.31924,337.760009765625,2.30491,0.133486,0.714229,"30074"
"Nick Martinez","CIN",5.46122,5.15823,4.77551,4.32997,41.3437,13.8118,1.72401,3.11929,104.789,451.731,103.542,54.7986,50.4147,15.2613,40.0473,0.933177,4.25419,97.7668,8.39689,3.43954,2.44128,1.31075,0.216427,0.0886528,0.1277739405632019,0.254135,1.37027,0.299865,0.726462,,,4.55068,1.13787,1.32357,454.6000061035156,2.91083,-0.0982465,0.605963,"12730"
"Jhoan Duran","MIN",3.67298,3.16661,0,2.81846,60.0888,0,32.7754,2.69766,63.9413,261.154,49.9131,21.7652,20.024,5.13077,22.4208,2.88631,3.39,85.3076,12.0074,3.15582,3.80484,0.722178,0.326657,0.085853,0.24080391973257065,0.212087,1.13126,0.309047,0.776179,,,2.84087,1.13274,1.25653,50.439998626708984,2.21555,0.180746,2.04077,"21029"
"Jordan Wicks","CHC",7.38263,6.37322,7.22047,4.40305,23.156,21.0823,0,0.238582,109.843,468.037,108.801,58.4112,53.7383,15.3267,37.2078,0.768743,3.4839,92.2926,7.56201,3.04862,2.48047,1.25579,0.197191,0.0794974,0.11769342422485352,0.254597,1.32925,0.292356,0.703303,,,4.49987,1.11484,1.29972,444.8699951171875,2.9678,1.3965,0.628794,"30094"
"Cal Quantrill","COL",6.5362,10.0363,8.00944,5.3663,26.4292,26.4292,0,0,149.221,661.076,171.301,96.7105,88.9737,24.2001,48.4519,0.437108,8.58356,93.5538,5.64254,2.9223,1.93086,1.45959,0.141517,0.0732925,0.0682249516248703,0.283591,1.47267,0.302498,0.66197,,,5.2561,1.11276,1.30971,713.27001953125,8.36384,-0.060734,2.52567,"19312"
"David Bednar","PIT",3.30566,2.79554,0,3.23494,61.2169,0,30.8266,2.29514,63.6857,261.578,53.5684,24.8816,22.8911,6.13674,20.9118,2.24884,2.40905,75.916,10.7284,2.95523,3.6303,0.867239,0.290224,0.0799448,0.21027883887290955,0.224835,1.1695,0.303652,0.752762,,,3.22219,1.11122,1.06929,62.18000030517578,1.75781,-0.652515,1.95732,"19569"
"Paul Skenes","PIT",2.86956,2.94525,1.44792,4.18336,10.4153,10.4153,0,0,54.8872,228.571,49.4442,27.731,25.5125,5.74335,19.9536,0,0,53.6624,8.79916,3.27184,2.68936,0.941752,0.234774,0.0872971,0.14747656136751175,0.237009,1.26437,0.292879,0.679087,,,3.75059,1.10988,0.824615,329.0899963378906,7.91868,0.594333,0.593337,"sa3023079"
